Date,SP
08/07/15,1.5143
09/07/15,1.483
10/07/15,1.4358
13/07/15,1.4527
14/07/15,1.4537
15/07/15,1.4599
16/07/15,1.4698
17/07/15,1.4681
20/07/15,1.4762
21/07/15,1.4776
22/07/15,1.492
23/07/15,1.5077
24/07/15,1.5207
27/07/15,1.528
28/07/15,1.5394
29/07/15,1.5076
30/07/15,1.511
31/07/15,1.4947
03/08/15,1.5039
04/08/15,1.5248
05/08/15,1.5104
06/08/15,1.5227
07/08/15,1.54
10/08/15,1.5287
11/08/15,1.482
12/08/15,1.465
13/08/15,1.418
14/08/15,1.424
17/08/15,1.4355
18/08/15,1.4488
19/08/15,1.4686
20/08/15,1.4636
21/08/15,1.4571
24/08/15,1.5054
25/08/15,1.5372
26/08/15,1.5317
27/08/15,1.5383
28/08/15,1.4919
31/08/15,1.4981
01/09/15,1.5016
04/09/15,1.5087
07/09/15,1.5103
08/09/15,1.5084
09/09/15,1.4669
10/09/15,1.4799
11/09/15,1.4618
14/09/15,1.4782
15/09/15,1.4905
16/09/15,1.4952
17/09/15,1.478
18/09/15,1.4798
21/09/15,1.4962
22/09/15,1.5024
23/09/15,1.5204
24/09/15,1.5137
25/09/15,1.5043
28/09/15,1.5223
29/09/15,1.5525
30/09/15,1.5385
08/10/15,1.5165
09/10/15,1.502
12/10/15,1.4846
13/10/15,1.501
14/10/15,1.5013
15/10/15,1.5053
16/10/15,1.5146
19/10/15,1.5198
20/10/15,1.539
21/10/15,1.5452
22/10/15,1.5411
23/10/15,1.5562
26/10/15,1.5707
27/10/15,1.5845
28/10/15,1.5852
29/10/15,1.5825
30/10/15,1.5771
02/11/15,1.5794
03/11/15,1.5849
04/11/15,1.5786
05/11/15,1.5802
06/11/15,1.5911
09/11/15,1.5835
10/11/15,1.6011
11/11/15,1.6228
12/11/15,1.6273
13/11/15,1.6324
16/11/15,1.6416
17/11/15,1.6747
18/11/15,1.6886
19/11/15,1.7278
20/11/15,1.7433
23/11/15,1.7603
24/11/15,1.7605
25/11/15,1.7123
26/11/15,1.6735
27/11/15,1.6701
30/11/15,1.6817
01/12/15,1.6593
02/12/15,1.6415
03/12/15,1.6715
04/12/15,1.6727
07/12/15,1.6499
08/12/15,1.6726
09/12/15,1.6768
10/12/15,1.6701
11/12/15,1.6717
14/12/15,1.6519
15/12/15,1.6475
16/12/15,1.6548
17/12/15,1.6434
18/12/15,1.6538
21/12/15,1.6231
22/12/15,1.6053
23/12/15,1.6129
24/12/15,1.6116
25/12/15,1.6123
28/12/15,1.6259
29/12/15,1.6228
30/12/15,1.6064
31/12/15,1.6085
01/01/16,1.6085
04/01/16,1.6155
05/01/16,1.6093
06/01/16,1.6129
07/01/16,1.604
08/01/16,1.6081
11/01/16,1.6115
12/01/16,1.6247
13/01/16,1.6305
14/01/16,1.6273
15/01/16,1.6242
18/01/16,1.6125
19/01/16,1.5919
20/01/16,1.5871
21/01/16,1.5935
22/01/16,1.5844
25/01/16,1.5725
26/01/16,1.5783
27/01/16,1.5657
28/01/16,1.5662
29/01/16,1.5751
01/02/16,1.5749
02/02/16,1.5725
03/02/16,1.5734
04/02/16,1.5728
05/02/16,1.5752
12/02/16,1.5749
15/02/16,1.5876
16/02/16,1.5771
17/02/16,1.5782
18/02/16,1.58
19/02/16,1.5824
22/02/16,1.5832
23/02/16,1.5778
24/02/16,1.585
25/02/16,1.5984
26/02/16,1.5943
29/02/16,1.6057
01/03/16,1.6139
02/03/16,1.6077
03/03/16,1.5958
04/03/16,1.5948
07/03/16,1.5908
08/03/16,1.607
09/03/16,1.6024
10/03/16,1.6076
11/03/16,1.6085
14/03/16,1.6073
15/03/16,1.592
16/03/16,1.5997
17/03/16,1.6116
18/03/16,1.6271
21/03/16,1.6195
22/03/16,1.6091
23/03/16,1.605
24/03/16,1.5786
25/03/16,1.5765
28/03/16,1.5844
29/03/16,1.5844
30/03/16,1.5825
31/03/16,1.5793
01/04/16,1.6046
04/04/16,1.6045
05/04/16,1.5965
06/04/16,1.593
07/04/16,1.5938
08/04/16,1.5913
11/04/16,1.6039
12/04/16,1.6072
13/04/16,1.6154
14/04/16,1.6002
15/04/16,1.6018
18/04/16,1.5968
19/04/16,1.6195
20/04/16,1.6455
21/04/16,1.689
22/04/16,1.6883
25/04/16,1.6951
26/04/16,1.6969
27/04/16,1.6788
28/04/16,1.6522
29/04/16,1.6703
02/05/16,1.6702
03/05/16,1.66
04/05/16,1.6461
05/05/16,1.6394
06/05/16,1.6079
09/05/16,1.602
10/05/16,1.5755
11/05/16,1.5952
12/05/16,1.608
13/05/16,1.5836
16/05/16,1.5841
17/05/16,1.5951
18/05/16,1.6041
19/05/16,1.5952
20/05/16,1.5916
23/05/16,1.585
24/05/16,1.5689
25/05/16,1.5565
26/05/16,1.5624
27/05/16,1.5651
30/05/16,1.5717
31/05/16,1.5796
01/06/16,1.5759
02/06/16,1.5838
03/06/16,1.587
06/06/16,1.5889
07/06/16,1.5926
08/06/16,1.5931
10/06/16,1.593
13/06/16,1.6195
14/06/16,1.6155
15/06/16,1.6056
16/06/16,1.6118
17/06/16,1.6024
20/06/16,1.6094
21/06/16,1.6153
22/06/16,1.6077
23/06/16,1.6134
24/06/16,1.6304
27/06/16,1.662
28/06/16,1.681
29/06/16,1.6913
30/06/16,1.7121
01/07/16,1.7308
04/07/16,1.7744
05/07/16,1.7562
06/07/16,1.7386
07/07/16,1.7391
08/07/16,1.7036
11/07/16,1.7079
12/07/16,1.7286
13/07/16,1.7435
14/07/16,1.7405
15/07/16,1.7403
18/07/16,1.7228
19/07/16,1.7137
20/07/16,1.7156
21/07/16,1.7144
22/07/16,1.7245
25/07/16,1.7106
26/07/16,1.7144
27/07/16,1.719
28/07/16,1.7366
29/07/16,1.7319
01/08/16,1.7371
02/08/16,1.7488
03/08/16,1.7517
04/08/16,1.7422
05/08/16,1.7595
08/08/16,1.7681
09/08/16,1.7752
10/08/16,1.777
11/08/16,1.7756
12/08/16,1.7803
15/08/16,1.7741
16/08/16,1.7842
17/08/16,1.7837
18/08/16,1.7823
19/08/16,1.7733
22/08/16,1.7771
23/08/16,1.7736
24/08/16,1.7745
25/08/16,1.7549
26/08/16,1.7622
29/08/16,1.7513
30/08/16,1.7447
31/08/16,1.7431
01/09/16,1.735
02/09/16,1.7479
05/09/16,1.7577
06/09/16,1.7562
07/09/16,1.7448
08/09/16,1.7396
09/09/16,1.7352
